Team,Group,R16,QF,SF,RU,W
Qatar,250,0,0,0,0,0
Ecuador,250,0,0,0,0,0
Senegal,0,250,0,0,0,0
Netherlands,0,0,128,70,26,26
England,0,0,121,49,49,31
Iran,250,0,0,0,0,0
USA,0,250,0,0,0,0
Wales,250,0,0,0,0,0
Argentina,0,0,122,86,20,22
Saudi Arabia,250,0,0,0,0,0
Mexico,250,0,0,0,0,0
Poland,0,250,0,0,0,0
France,0,0,129,38,47,36
Australia,0,250,0,0,0,0
Denmark,250,0,0,0,0,0
Tunisia,250,0,0,0,0,0
Spain,0,76,53,71,31,19
Costa Rica,250,0,0,0,0,0
Germany,250,0,0,0,0,0
Japan,0,250,0,0,0,0
Belgium,250,0,0,0,0,0
Canada,250,0,0,0,0,0
Morocco,0,174,35,30,5,6
Croatia,0,0,188,38,13,11
Brazil,0,0,62,56,44,88
Serbia,250,0,0,0,0,0
Switzerland,0,137,74,30,7,2
Cameroon,250,0,0,0,0,0
Portugal,0,113,88,32,8,9
Ghana,250,0,0,0,0,0
Uruguay,250,0,0,0,0,0
South Korea,0,250,0,0,0,0
