Team,Rating
Argentina,1858.0
France,1840.59
Belgium,1795.23
England,1794.9
Brazil,1788.65
Portugal,1748.11
Netherlands,1742.29
Spain,1727.5
Italy,1724.6
Croatia,1721.07
USA,1681.13
Colombia,1664.28
Morocco,1661.42
Mexico,1661.11
Uruguay,1659.39
Germany,1644.21
Senegal,1624.73
Japan,1621.88
Switzerland,1616.41
IR Iran,1613.96
Denmark,1602.72
Ukraine,1568.86
Korea Republic,1563.99
Australia,1563.93
Austria,1554.86
Hungary,1532.2
Sweden,1531.68
Poland,1531.49
Wales,1531.38
Nigeria,1520.27
Ecuador,1518.22
Peru,1515.82
Serbia,1514.2
Qatar,1507.94
Russia,1504.02
Czechia,1501.47
Egypt,1499.72
Côte d'Ivoire,1498.8
Scotland,1497.46
Turkey,1495.94
Tunisia,1493.12
Chile,1491.71
Algeria,1482.71
Mali,1477.9
Panama,1475.62
Romania,1468.17
Norway,1467.51
Slovakia,1461.55
Canada,1461.16
Greece,1457.89
Cameroon,1452.59
Costa Rica,1445.38
Saudi Arabia,1443.53
Venezuela,1442.29
Jamaica,1435.33
Paraguay,1430.73
Slovenia,1427.84
Iraq,1420.47
South Africa,1407.67
Republic of Ireland,1399.74
Finland,1394.44
Burkina Faso,1390.38
Congo DR,1388.25
Uzbekistan,1386.58
Cabo Verde,1383.44
Albania,1375.1
United Arab Emirates,1366.45
Ghana,1358.77
North Macedonia,1354.19
Montenegro,1351.72
Jordan,1350.21
Iceland,1346.82
Northern Ireland,1341.05
Bosnia and Herzegovina,1335.6
Georgia,1333.76
Guinea,1324.65
Oman,1323.23
Israel,1311.39
Equatorial Guinea,1308.03
Bahrain,1307.53
El Salvador,1305.02
Honduras,1301.92
Bulgaria,1292.59
Gabon,1287.33
Bolivia,1283.88
Zambia,1278.26
Luxembourg,1277.94
China PR,1275.22
Syria,1266.52
Haiti,1262.5
Curaçao,1262.48
Uganda,1242.15
Palestine,1238.66
Angola,1235.76
Armenia,1229.18
Belarus,1226.54
Benin,1225.68
Trinidad and Tobago,1220.65
Tajikistan,1216.76
Kyrgyz Republic,1213.6
Thailand,1208.93
Kosovo,1205.85
Kazakhstan,1203.64
New Zealand,1197.68
Mauritania,1195.5
Namibia,1192.13
Kenya,1191.24
Guatemala,1188.28
Madagascar,1185.86
Mozambique,1184.49
Congo,1179.8
Azerbaijan,1177.83
Togo,1170.34
Libya,1166.71
Vietnam,1164.54
Guinea-Bissau,1163.44
Comoros,1163.02
Korea DPR,1160.57
Tanzania,1159.81
Lebanon,1158.96
India,1145.94
Zimbabwe,1143.66
Estonia,1141.13
Cyprus,1141.03
Malawi,1140.93
Sierra Leone,1137.36
Sudan,1129.32
Central African Republic,1128.17
Niger,1125.5
The Gambia,1114.8
Rwanda,1112.44
Solomon Islands,1111.02
Faroe Islands,1103.43
Indonesia,1102.7
Nicaragua,1102.54
Latvia,1095.91
Lithuania,1095.23
Malaysia,1094.54
Kuwait,1085.46
Burundi,1081.63
Philippines,1075.14
Antigua and Barbuda,1072.66
Turkmenistan,1072.52
Suriname,1071.85
Ethiopia,1068.48
Botswana,1065.07
St Kitts and Nevis,1056.61
Eswatini,1048.89
Lesotho,1047.58
Dominican Republic,1042.86
Afghanistan,1036.92
Liberia,1029.58
Moldova,1028.85
Guyana,1020.31
Singapore,1019.06
Yemen,1017.05
Hong Kong,1012.83
New Caledonia,1008.92
Chinese Taipei,1007.3
Puerto Rico,1006.35
Maldives,1003.48
Tahiti,999.48
Myanmar,999.46
Andorra,998.75
St Lucia,988.67
Papua New Guinea,985.32
South Sudan,984.65
Fiji,983.81
Cuba,980.65
Bermuda,974.3
Malta,973.14
Vanuatu,972.14
St Vincent and the Grenadines,953.47
Grenada,950.99
Montserrat,946.08
Chad,945.92
Barbados,943.8
Nepal,937.84
Cambodia,925.4
Dominica,922.25
Samoa,920.54
Belize,919.52
Mauritius,919.4
Bangladesh,905.3
Bhutan,904.1
Macau,896.62
Cook Islands,896.59
São Tomé and Príncipe,893.58
American Samoa,890.97
Laos,889.62
Mongolia,884.04
Djibouti,877.28
Aruba,875.82
Brunei Darussalam,872.65
Pakistan,849.94
Cayman Islands,847.81
Seychelles,845.53
Timor-Leste,843.4
Somalia,842.64
Bahamas,835.81
Tonga,833.12
Liechtenstein,832.75
Gibraltar,832.5
Sri Lanka,829.41
Guam,821.91
Turks and Caicos Islands,817.03
British Virgin Islands,813.31
US Virgin Islands,797.29
Anguilla,793.48
San Marino,742.05
