Team,Group,R16,QF,SF,RU,W
Argentina,32669,16548,11502,16757,8735,13789
Australia,87005,9339,2807,766,76,7
Belgium,7027,20845,25475,17295,15029,14329
Brazil,766,15392,16297,15172,13523,38850
Cameroon,96742,2612,544,87,14,1
Canada,84722,12114,2887,221,49,7
Costa Rica,83491,11950,3116,1006,354,83
Croatia,43632,28696,19385,4975,2342,970
Denmark,35959,29071,16657,12530,3940,1843
Ecuador,26163,48678,18037,5738,1116,268
England,7600,28522,31426,17556,9405,5491
France,6283,30003,23030,20317,11858,8509
Germany,73762,16829,5487,2380,1148,394
Ghana,93028,6593,341,34,4,0
Iran,80969,12995,4356,1431,210,39
Japan,36036,48613,12139,2459,653,100
Mexico,56426,26196,9880,5571,1453,474
Morocco,64619,23786,9553,1493,460,89
Netherlands,5276,36371,29249,19330,6083,3691
Poland,64882,24247,7163,2978,586,144
Portugal,16009,46825,20974,9049,4988,2155
Qatar,93268,5255,1201,229,41,6
Saudi Arabia,46023,44820,7566,1449,131,11
Senegal,75293,16805,5602,1772,447,81
Serbia,72015,18494,6918,1852,599,122
South Korea,66408,28860,3667,851,181,33
Spain,6711,37167,37233,9188,5734,3967
Switzerland,30477,38339,19668,7206,3288,1022
Tunisia,70753,19776,6940,2243,253,35
USA,53763,25929,13188,5551,1213,356
Uruguay,24555,42885,16316,8161,5165,2918
Wales,57668,25445,11396,4353,922,216
